学生姓名,专业,年级,性别,过程考核1,过程考核2,过程考核3,出勤1,出勤2,出勤3,出勤率,小组作业1,小组作业2,平时成绩,期末考试,综合成绩,学习投入度,成绩稳定性,综合能力
涂桂兰,英语,3,男,97,71,86,1,1,1,100.0,73,77,82.9,60,66.87,87.9,13.051181300301263,69.16
赵帆,英语,3,男,65,83,80,0,1,1,66.67,79,77,75.13,81,79.24,72.868,9.643650760992955,78.652
王桂荣,电子信息工程,2,男,68,82,73,1,1,0,66.67,71,76,72.38,68,69.31,71.018,7.094598884597588,69.752
朱淑华,电子信息工程,4,男,64,95,98,1,0,1,66.67,95,84,83.78,92,89.53,79.218,18.823743871327334,88.71199999999999
秦刚,会计学,1,男,64,70,93,1,1,1,100.0,78,78,81.7,99,93.81,86.1,15.30795000427338,92.08
周辉,英语,2,女,69,68,73,1,1,1,100.0,77,90,82.75,80,80.82,86.05,2.6457513110645907,81.1
管晶,会计学,2,男,65,86,84,1,1,1,100.0,93,89,89.0,93,91.8,90.8,11.590225767142474,91.4
阎瑜,会计学,2,男,86,62,81,0,1,1,66.67,73,83,75.23,100,92.57,72.96799999999999,12.662279942148386,90.092
陈飞,计算机科学与技术,2,女,83,97,98,1,1,1,100.0,87,98,94.05,69,76.52,95.55,8.386497083606082,79.02
韩瑞,英语,4,女,80,73,65,0,1,1,66.67,72,75,71.88,62,64.96,70.518,7.505553499465135,65.952
曲娜,会计学,1,女,88,79,98,1,1,1,100.0,93,72,87.75,64,71.12,91.25,9.50438495292217,73.5
李红霞,计算机科学与技术,3,女,81,97,61,1,1,1,100.0,90,85,87.65,63,70.4,90.15,18.036999011291577,72.86
施楠,金融学,3,女,93,73,61,1,0,1,66.67,82,72,74.53,62,65.76,72.468,16.165807537309522,67.012
王岩,电子信息工程,1,女,69,77,98,1,1,1,100.0,94,77,87.15,84,84.94,90.05000000000001,14.977761292440647,85.26
洪红,会计学,3,女,89,90,60,1,1,1,100.0,72,72,79.9,71,73.67,85.5,17.039170558842745,74.56
蒋红霞,会计学,3,女,86,92,61,1,1,1,100.0,77,97,87.4,69,74.52,90.0,16.441816606851365,76.36
任坤,计算机科学与技术,3,女,92,77,91,1,1,1,100.0,100,99,95.75,99,98.02,95.85,8.386497083606082,97.7
陈凤英,电子信息工程,2,女,61,95,87,1,1,1,100.0,70,90,84.3,94,91.09,88.3,17.776388834631177,90.12
黄柳,金融学,1,女,61,83,64,1,1,1,100.0,76,82,80.3,81,80.79,84.5,11.930353445448855,80.72
黄柳,会计学,3,男,88,90,97,0,0,1,33.33,76,91,75.92,99,92.08,65.882,4.725815626252609,89.768
季秀华,会计学,4,男,92,94,98,1,1,1,100.0,85,84,90.65,97,95.1,93.75,3.0550504633038935,94.46000000000001
张萍,金融学,4,女,81,75,77,1,1,1,100.0,76,100,87.3,62,69.59,89.69999999999999,3.0550504633038935,72.12
缪辉,计算机科学与技术,4,男,76,73,71,1,1,1,100.0,90,99,89.25,92,91.17,90.35,2.5166114784235836,90.9
李旭,金融学,3,女,79,67,73,1,1,1,100.0,87,87,85.4,72,76.02,88.0,6.0,77.36
彭帅,金融学,3,男,84,99,66,1,1,1,100.0,78,75,83.15,65,70.44,87.85000000000001,16.522711641858304,72.26
方婷婷,会计学,3,男,71,94,99,1,1,1,100.0,95,86,91.65,60,69.5,93.55000000000001,14.933184523068078,72.66
连桂芳,电子信息工程,1,女,81,100,60,1,1,1,100.0,71,97,86.1,67,72.73,89.3,20.008331597945226,74.63999999999999
张瑜,英语,2,男,73,90,74,1,1,1,100.0,89,94,89.45,68,74.44,91.15,9.539392014169456,76.58
时雪梅,计算机科学与技术,1,男,81,73,99,1,1,0,66.67,78,83,78.88,64,68.46,76.118,13.316656236958787,69.952
朱宁,英语,4,男,96,91,60,1,1,1,100.0,93,86,89.45,74,78.63,91.55,19.5021366350801,80.18
滕萍,金融学,3,女,91,78,93,1,1,1,100.0,87,98,92.45,98,96.34,93.95,8.144527815247079,95.78
孙凯,电子信息工程,4,男,89,61,75,1,1,0,66.67,87,95,81.33,83,82.5,76.468,14.0,82.332
许琳,计算机科学与技术,3,女,69,70,73,1,1,1,100.0,95,84,85.95,96,92.98,88.05,2.081665999466133,91.97999999999999
马秀兰,会计学,2,女,80,73,92,1,1,1,100.0,97,98,93.25,74,79.77,93.75,9.60902353693305,81.7
张彬,英语,4,女,100,62,98,1,1,1,100.0,83,97,91.0,71,77.0,93.0,21.385353243127255,79.0
廖萍,会计学,4,女,70,69,86,1,1,1,100.0,72,74,79.0,97,91.6,84.4,9.539392014169456,89.8
程秀芳,电子信息工程,3,女,73,72,87,0,1,1,66.67,90,98,83.53,90,88.06,78.068,8.386497083606084,87.412
冯凤英,金融学,2,女,62,86,63,1,1,0,66.67,83,99,79.93,69,72.28,75.068,13.576941236277534,73.372
