学生姓名,专业,年级,性别,过程考核1,过程考核2,过程考核3,出勤1,出勤2,出勤3,出勤率,小组作业1,小组作业2,平时成绩,期末考试,综合成绩
黄桂芝,电子信息工程,4,男,94,80,65,1,1,1,100.0,72,92,84.9,85,84.97
陶秀兰,会计学,4,男,64,81,71,1,1,1,100.0,74,80,80.1,82,81.43
王婷婷,计算机科学与技术,2,女,73,69,80,0,1,1,66.67,100,71,78.28,60,65.48
廖玉兰,金融学,2,男,82,64,72,1,1,1,100.0,98,83,87.05,63,70.21
吴桂兰,计算机科学与技术,1,女,73,83,64,1,1,1,100.0,74,85,81.75,77,78.42
涂桂兰,英语,3,男,97,71,86,1,1,1,100.0,73,77,82.9,60,66.87
杨畅,计算机科学与技术,4,女,89,72,84,1,0,1,66.67,86,95,83.08,87,85.82
赵帆,英语,3,男,65,83,80,0,1,1,66.67,79,77,75.13,81,79.24
王桂荣,电子信息工程,2,男,68,82,73,1,1,0,66.67,71,76,72.38,68,69.31
朱淑华,电子信息工程,4,男,64,95,98,1,0,1,66.67,95,84,83.78,92,89.53
秦刚,会计学,1,男,64,70,93,1,1,1,100.0,78,78,81.7,99,93.81
周辉,英语,2,女,69,68,73,1,1,1,100.0,77,90,82.75,80,80.82
管晶,会计学,2,男,65,86,84,1,1,1,100.0,93,89,89.0,93,91.8
阎瑜,会计学,2,男,86,62,81,0,1,1,66.67,73,83,75.23,100,92.57
陈飞,计算机科学与技术,2,女,83,97,98,1,1,1,100.0,87,98,94.05,69,76.52
韩瑞,英语,4,女,80,73,65,0,1,1,66.67,72,75,71.88,62,64.96
曲娜,会计学,1,女,88,79,98,1,1,1,100.0,93,72,87.75,64,71.12
孙红,英语,2,女,86,85,79,1,1,1,100.0,86,80,86.5,70,74.95
李红霞,计算机科学与技术,3,女,81,97,61,1,1,1,100.0,90,85,87.65,63,70.4
施楠,金融学,3,女,93,73,61,1,0,1,66.67,82,72,74.53,62,65.76
王岩,电子信息工程,1,女,69,77,98,1,1,1,100.0,94,77,87.15,84,84.94
洪红,会计学,3,女,89,90,60,1,1,1,100.0,72,72,79.9,71,73.67
蒋红霞,会计学,3,女,86,92,61,1,1,1,100.0,77,97,87.4,69,74.52
任坤,计算机科学与技术,3,女,92,77,91,1,1,1,100.0,100,99,95.75,99,98.02
陈凤英,电子信息工程,2,女,61,95,87,1,1,1,100.0,70,90,84.3,94,91.09
黄柳,金融学,1,女,61,83,64,1,1,1,100.0,76,82,80.3,81,80.79
黄柳,会计学,3,男,88,90,97,0,0,1,33.33,76,91,75.92,99,92.08
季秀华,会计学,4,男,92,94,98,1,1,1,100.0,85,84,90.65,97,95.1
张萍,金融学,4,女,81,75,77,1,1,1,100.0,76,100,87.3,62,69.59
缪辉,计算机科学与技术,4,男,76,73,71,1,1,1,100.0,90,99,89.25,92,91.17
李旭,金融学,3,女,79,67,73,1,1,1,100.0,87,87,85.4,72,76.02
彭帅,金融学,3,男,84,99,66,1,1,1,100.0,78,75,83.15,65,70.44
方婷婷,会计学,3,男,71,94,99,1,1,1,100.0,95,86,91.65,60,69.5
连桂芳,电子信息工程,1,女,81,100,60,1,1,1,100.0,71,97,86.1,67,72.73
张瑜,英语,2,男,73,90,74,1,1,1,100.0,89,94,89.45,68,74.44
时雪梅,计算机科学与技术,1,男,81,73,99,1,1,0,66.67,78,83,78.88,64,68.46
朱宁,英语,4,男,96,91,60,1,1,1,100.0,93,86,89.45,74,78.63
滕萍,金融学,3,女,91,78,93,1,1,1,100.0,87,98,92.45,98,96.34
孙凯,电子信息工程,4,男,89,61,75,1,1,0,66.67,87,95,81.33,83,82.5
许琳,计算机科学与技术,3,女,69,70,73,1,1,1,100.0,95,84,85.95,96,92.98
马秀兰,会计学,2,女,80,73,92,1,1,1,100.0,97,98,93.25,74,79.77
张彬,英语,4,女,100,62,98,1,1,1,100.0,83,97,91.0,71,77.0
廖萍,会计学,4,女,70,69,86,1,1,1,100.0,72,74,79.0,97,91.6
程秀芳,电子信息工程,3,女,73,72,87,0,1,1,66.67,90,98,83.53,90,88.06
冯凤英,金融学,2,女,62,86,63,1,1,0,66.67,83,99,79.93,69,72.28
柴瑞,金融学,4,男,97,95,82,1,1,1,100.0,81,84,88.65,65,72.1
全秀云,计算机科学与技术,2,女,75,83,81,1,1,1,100.0,82,99,89.15,81,83.44
何兰英,计算机科学与技术,3,男,78,91,74,0,1,1,66.67,71,80,75.38,81,79.31
何鹏,电子信息工程,4,男,88,92,99,1,1,1,100.0,84,84,89.9,97,94.87
王娜,会计学,4,女,80,61,67,1,1,1,100.0,73,76,78.05,99,92.72
李明,金融学,4,男,89,89,65,1,1,1,100.0,99,100,94.05,66,74.41
朱建国,电子信息工程,1,男,62,73,76,1,1,1,100.0,95,97,89.1,81,83.43
王彬,会计学,4,女,81,96,89,1,1,1,100.0,88,96,92.6,60,69.78
张秀华,英语,1,男,73,80,66,0,1,1,66.67,94,98,83.23,100,94.97
李涛,金融学,3,女,92,60,69,1,1,1,100.0,73,81,80.6,97,92.08
傅志强,金融学,2,女,93,86,74,1,1,1,100.0,92,72,86.3,82,83.29
陶旭,计算机科学与技术,3,男,76,81,68,0,1,1,66.67,91,76,77.58,61,65.97
丁静,会计学,1,男,67,84,66,1,1,1,100.0,86,98,87.7,88,87.91
高想,金融学,3,男,72,90,61,0,1,1,66.67,78,79,74.88,97,90.36
张涛,会计学,1,男,98,87,98,1,1,1,100.0,80,72,86.3,84,84.69
吴坤,会计学,2,男,83,83,86,0,1,0,33.33,97,77,75.37,93,87.71
杜芳,英语,4,男,72,84,63,1,1,1,100.0,85,79,82.9,73,75.97
侯玲,英语,3,女,64,73,75,1,1,1,100.0,88,91,85.95,92,90.18
武志强,会计学,4,男,66,73,74,1,1,1,100.0,99,70,83.55,84,83.86
王玉兰,英语,4,男,72,96,66,1,1,1,100.0,95,84,88.15,79,81.74
梅彬,会计学,4,女,66,70,84,1,1,1,100.0,87,83,84.5,75,77.85
孔志强,会计学,3,男,85,70,94,1,1,1,100.0,85,77,85.4,64,70.42
郭帅,英语,1,女,68,77,77,1,1,1,100.0,71,92,82.95,99,94.18
郑飞,电子信息工程,1,女,80,96,96,1,1,0,66.67,79,92,83.28,88,86.58
蒋玉珍,会计学,3,女,96,68,70,0,0,1,33.33,80,82,70.57,70,70.17
王岩,会计学,3,男,81,75,72,1,1,1,100.0,98,98,91.8,73,78.64
贺雪梅,电子信息工程,3,女,88,92,73,1,0,1,66.67,95,79,82.13,69,72.94
欧凤英,会计学,3,女,65,89,83,1,1,1,100.0,100,81,88.95,79,81.98
胡龙,金融学,4,男,86,69,100,1,1,0,66.67,89,72,79.08,69,72.02
黄萍,会计学,3,女,89,97,64,0,1,1,66.67,90,87,82.58,63,68.87
王辉,金融学,3,男,84,80,72,1,1,0,66.67,83,72,75.68,95,89.2
熊东,计算机科学与技术,4,男,61,60,70,1,1,1,100.0,87,78,80.35,86,84.3
周凤兰,英语,2,男,71,70,99,1,1,1,100.0,96,71,85.75,65,71.22
吴欢,金融学,3,男,100,96,93,1,1,1,100.0,87,73,88.9,96,93.87
郑海燕,金融学,1,女,98,87,95,1,0,1,66.67,88,92,86.33,66,72.1
李楠,金融学,2,女,81,72,63,1,1,1,100.0,92,74,83.1,84,83.73
祁莹,会计学,4,男,62,65,88,1,1,1,100.0,75,88,82.25,65,70.18
黄艳,英语,3,女,75,86,86,1,1,1,100.0,84,73,83.95,85,84.68
张欣,计算机科学与技术,1,女,93,100,67,1,1,1,100.0,93,73,87.5,97,94.15
王建军,金融学,2,男,83,96,79,1,1,1,100.0,97,71,87.8,97,94.24
张平,金融学,2,女,66,95,91,1,1,1,100.0,88,73,85.45,67,72.54
宋荣,金融学,4,男,65,64,99,1,1,1,100.0,82,80,83.3,66,71.19
周磊,英语,3,男,98,63,71,0,1,1,66.67,75,83,76.03,80,78.81
江明,电子信息工程,1,女,70,76,77,1,1,1,100.0,87,89,86.3,73,76.99
袁岩,计算机科学与技术,2,男,98,93,84,1,1,1,100.0,98,96,96.0,99,98.1
罗利,计算机科学与技术,3,男,94,75,75,1,1,1,100.0,75,75,81.9,92,88.97
蒋瑜,会计学,4,男,60,74,94,1,1,1,100.0,78,72,80.3,91,87.79
陈浩,计算机科学与技术,1,男,61,94,92,1,1,1,100.0,71,81,82.7,73,75.91
李金凤,电子信息工程,2,女,71,64,88,1,1,1,100.0,100,74,85.8,74,77.54
夏杨,电子信息工程,4,男,83,87,98,1,1,1,100.0,88,85,90.05,76,80.21
曾楠,英语,3,女,87,61,66,1,1,1,100.0,71,85,80.4,84,82.92
刘冬梅,计算机科学与技术,4,男,80,62,72,1,1,1,100.0,90,87,85.65,76,78.9
冯丹丹,会计学,3,男,66,60,64,1,1,0,66.67,73,75,69.33,92,85.2
梁娜,金融学,3,男,80,86,84,1,1,1,100.0,86,78,86.0,84,84.6
陈帅,会计学,4,女,63,83,86,0,1,1,66.67,100,86,83.03,98,93.51
卢桂珍,会计学,2,男,79,88,73,0,1,1,66.67,94,99,85.58,69,73.97
鞠娟,会计学,1,女,98,85,61,1,1,1,100.0,77,95,87.4,98,94.82
赵佳,英语,3,女,73,72,100,1,1,1,100.0,89,85,88.0,66,72.6
