学生姓名,专业,年级,性别,过程考核1,过程考核2,过程考核3,出勤1,出勤2,出勤3,出勤率,小组作业1,小组作业2,平时成绩,期末考试,综合成绩,学习投入度,成绩稳定性,综合能力
黄桂芝,电子信息工程,4,男,94,80,65,1,1,1,100.0,72,92,84.9,85,84.97,88.50,14.50,84.96
廖玉兰,金融学,2,男,82,64,72,1,1,1,100.0,98,83,87.05,63,70.21,88.95,9.02,72.62
吴桂兰,计算机科学与技术,1,女,73,83,64,1,1,1,100.0,74,85,81.75,77,78.42,85.85,9.50,78.90
涂桂兰,英语,3,男,97,71,86,1,1,1,100.0,73,77,82.9,60,66.87,87.90,13.05,69.16
杨畅,计算机科学与技术,4,女,89,72,84,1,0,1,66.67,86,95,83.08,87,85.82,78.32,8.74,85.43
赵帆,英语,3,男,65,83,80,0,1,1,66.67,79,77,75.13,81,79.24,72.87,9.64,78.65
王桂荣,电子信息工程,2,男,68,82,73,1,1,0,66.67,71,76,72.38,68,69.31,71.02,7.09,69.75
朱淑华,电子信息工程,4,男,64,95,98,1,0,1,66.67,95,84,83.78,92,89.53,79.22,18.82,88.71
秦刚,会计学,1,男,64,70,93,1,1,1,100.0,78,78,81.7,99,93.81,86.10,15.31,92.08
周辉,英语,2,女,69,68,73,1,1,1,100.0,77,90,82.75,80,80.82,86.05,2.65,81.10
管晶,会计学,2,男,65,86,84,1,1,1,100.0,93,89,89.0,93,91.80,90.80,11.59,91.40
阎瑜,会计学,2,男,86,62,81,0,1,1,66.67,73,83,75.23,100,92.57,72.97,12.66,90.09
陈飞,计算机科学与技术,2,女,83,97,98,1,1,1,100.0,87,98,94.05,69,76.52,95.55,8.39,79.02
韩瑞,英语,4,女,80,73,65,0,1,1,66.67,72,75,71.88,62,64.96,70.52,7.51,65.95
曲娜,会计学,1,女,88,79,98,1,1,1,100.0,93,72,87.75,64,71.12,91.25,9.50,73.50
孙红,英语,2,女,86,85,79,1,1,1,100.0,86,80,86.5,70,74.95,89.90,3.79,76.60
李红霞,计算机科学与技术,3,女,81,97,61,1,1,1,100.0,90,85,87.65,63,70.40,90.15,18.04,72.86
施楠,金融学,3,女,93,73,61,1,0,1,66.67,82,72,74.53,62,65.76,72.47,16.17,67.01
王岩,电子信息工程,1,女,69,77,98,1,1,1,100.0,94,77,87.15,84,84.94,90.05,14.98,85.26
洪红,会计学,3,女,89,90,60,1,1,1,100.0,72,72,79.9,71,73.67,85.50,17.04,74.56
蒋红霞,会计学,3,女,86,92,61,1,1,1,100.0,77,97,87.4,69,74.52,90,16.44,76.36
任坤,计算机科学与技术,3,女,92,77,91,1,1,1,100.0,100,99,95.75,99,98.02,95.85,8.39,97.70
陈凤英,电子信息工程,2,女,61,95,87,1,1,1,100.0,70,90,84.3,94,91.09,88.30,17.78,90.12
黄柳,金融学,1,女,61,83,64,1,1,1,100.0,76,82,80.3,81,80.79,84.50,11.93,80.72
黄柳,会计学,3,男,88,90,97,0,0,1,33.33,76,91,75.92,99,92.08,65.88,4.73,89.77
季秀华,会计学,4,男,92,94,98,1,1,1,100.0,85,84,90.65,97,95.10,93.75,3.06,94.46
张萍,金融学,4,女,81,75,77,1,1,1,100.0,76,100,87.3,62,69.59,89.70,3.06,72.12
缪辉,计算机科学与技术,4,男,76,73,71,1,1,1,100.0,90,99,89.25,92,91.17,90.35,2.52,90.90
李旭,金融学,3,女,79,67,73,1,1,1,100.0,87,87,85.4,72,76.02,88,6,77.36
彭帅,金融学,3,男,84,99,66,1,1,1,100.0,78,75,83.15,65,70.44,87.85,16.52,72.26
方婷婷,会计学,3,男,71,94,99,1,1,1,100.0,95,86,91.65,60,69.50,93.55,14.93,72.66
连桂芳,电子信息工程,1,女,81,100,60,1,1,1,100.0,71,97,86.1,67,72.73,89.30,20.01,74.64
张瑜,英语,2,男,73,90,74,1,1,1,100.0,89,94,89.45,68,74.44,91.15,9.54,76.58
时雪梅,计算机科学与技术,1,男,81,73,99,1,1,0,66.67,78,83,78.88,64,68.46,76.12,13.32,69.95
朱宁,英语,4,男,96,91,60,1,1,1,100.0,93,86,89.45,74,78.63,91.55,19.50,80.18
滕萍,金融学,3,女,91,78,93,1,1,1,100.0,87,98,92.45,98,96.34,93.95,8.14,95.78
孙凯,电子信息工程,4,男,89,61,75,1,1,0,66.67,87,95,81.33,83,82.50,76.47,14,82.33
许琳,计算机科学与技术,3,女,69,70,73,1,1,1,100.0,95,84,85.95,96,92.98,88.05,2.08,91.98
马秀兰,会计学,2,女,80,73,92,1,1,1,100.0,97,98,93.25,74,79.77,93.75,9.61,81.70
张彬,英语,4,女,100,62,98,1,1,1,100.0,83,97,91.0,71,77,93,21.39,79
廖萍,会计学,4,女,70,69,86,1,1,1,100.0,72,74,79.0,97,91.60,84.40,9.54,89.80
